County,Chimneys/Flues/Soot/Hot Ashes,Smoking Materials,Matches/ Cigarette Lighters,Rubbish Burning,Using Fuels to Kindle Fires,Cooking and Heating,Electrical Equipment,Other Equipment,Electrical Wiring Installations,Explosions,Malicious,Other Suspected Causes,Unknown Causes,Total
Carlow,60,0,2,8,0,11,12,8,0,0,124,39,49,313
Cavan,39,3,1,14,2,3,8,4,7,0,23,4,55,163
Clare  ,124,1,3,58,1,10,6,5,4,1,11,34,140,398
Cork,285,20,5,55,3,29,16,17,27,1,91,13,477,1039
Cork,6,4,1,7,0,34,20,0,9,0,19,35,1021,1156
Donegal,118,12,0,18,0,26,2,34,0,0,19,35,131,395
Dublin,,,,,,,,,,,,,,0
Galway,197,19,4,38,3,41,7,25,2,2,35,73,371,817
Kerry,125,26,2,26,0,10,12,39,15,0,16,38,222,531
Kildare,216,0,1,26,0,3,8,3,4,0,50,63,559,933
Kilkenny,38,0,0,0,0,1,0,0,0,0,0,0,140,179
Laois   ,147,5,0,0,0,5,3,0,0,0,37,40,157,394
Leitrim,4,0,0,0,0,22,0,0,0,0,1,6,69,102
Limerick,0,0,0,0,0,0,0,0,0,0,0,0,778,778
Longford,96,0,0,76,0,3,2,23,0,0,0,1,82,283
Louth,41,7,1,136,3,14,13,4,7,1,157,7,155,546
Mayo,192,6,0,7,0,15,13,0,6,0,38,15,142,434
Meath,29,7,1,48,0,31,9,0,30,1,9,0,521,686
Monaghan,62,5,0,7,1,14,6,5,5,0,11,6,53,175
Offaly,167,0,0,3,0,3,7,1,0,0,58,17,173,429
Roscommon,0,,0,0,0,0,0,0,0,0,0,0,215,215
Sligo,91,1,1,15,1,10,7,1,4,0,34,4,31,200
Tipperary,242,11,22,45,0,13,8,0,7,0,38,63,225,674
Waterford,47,0,0,0,0,12,11,2,0,0,137,15,476,700
Westmeath,142,0,0,66,0,0,0,0,0,0,0,0,145,353
Wexford,52,3,19,26,0,9,10,8,6,0,70,13,457,673
Wicklow,,,,,,,,,,,,,,
Total,2520,130,63,679,14,319,180,179,133,6,978,521,6844,12566
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,  ,,,,,,,
